Date,Open,High,Low,Close,Volume,OpenInterest
2021-07-21,145.93,148.195,145.81,146.8,69983712,0
2021-07-22,147.52,148.7177,146.92,148.57,65238185,0
2021-07-25,148.27,149.83,147.7,148.99,62046190,0
2021-07-26,149.14,149.21,145.55,146.78,83259254,0
2021-07-27,144.82,146.97,142.54,144.98,105969829,0
2021-07-28,144.66,146.55,144.58,145.62,48298474,0
2021-07-29,144.43,146.33,144.11,145.86,57136664,0
2021-08-01,146.4,146.95,145.25,145.52,54586967,0
2021-08-02,145.81,148.045,145.18,147.3402,58537157,0
2021-08-03,147.26,147.79,146.28,146.94,47888758,0
2021-08-04,146.99,147.84,146.17,147.06,41900554,0
2021-08-05,146.32,147.11,145.63,146.14,44633802,0
2021-08-08,146.23,146.7,145.52,146.09,39789209,0
2021-08-09,146.46,147.71,145.3,145.61,58788673,0
2021-08-10,146.07,146.72,145.53,145.91,44305648,0
2021-08-11,146.2,149.05,145.84,148.885,65367573,0
2021-08-12,148.97,149.4444,148.27,149.1,54723818,0
2021-08-15,148.57,151.13,146.47,151.125,93470567,0
2021-08-16,150.23,151.68,149.09,150.23,81243219,0
2021-08-17,149.81,150.72,146.15,146.36,77345716,0
2021-08-18,145.07,148,144.5,146.67,75421518,0
2021-08-19,147.46,148.5,146.78,148.19,49677581,0
2021-08-22,148.24,150.19,147.89,149.7,51090913,0
2021-08-23,149.45,150.86,149.15,149.63,44565329,0
2021-08-24,149.82,150.32,147.8,148.37,52969335,0
2021-08-25,148.33,149.12,147.51,147.54,43967563,0
2021-08-26,147.46,148.75,146.83,148.6,47916116,0
2021-08-29,149,153.49,148.61,153.1,83927668,0
2021-08-30,152.68,152.8,151.29,151.83,65181250,0
2021-08-31,152.8,154.98,152.34,152.54,72982461,0
2021-09-01,153.85,154.72,152.4,153.71,64119121,0
2021-09-02,153.75,154.63,153.09,154.31,51476040,0
2021-09-06,155,157.26,154.39,156.7,74486147,0
2021-09-07,156.98,157.04,153.975,155.12,65568750,0
2021-09-08,155.49,156.11,153.95,154.1,51199504,0
2021-09-09,155.02,155.48,148.7,149,133062213,0
2021-09-12,150.64,151.42,148.75,149.62,85586952,0
2021-09-13,150.36,151.07,146.91,148.19,97069085,0
2021-09-14,148.54,149.44,146.37,149.1,71778013,0
2021-09-15,148.44,148.97,147.221,148.85,59358341,0
2021-09-16,148.78,148.82,145.76,146,97006081,0
2021-09-19,143.86,144.84,141.27,142.97,104053339,0
2021-09-20,143.93,144.6,142.78,143.4,67270718,0
2021-09-21,144.4,146.43,143.7001,145.83,66081218,0
2021-09-22,146.62,147.08,145.64,146.75,56907934,0
2021-09-23,145.66,147.4701,145.56,146.91,46869744,0
2021-09-26,145.48,145.96,143.82,145.38,61803146,0
2021-09-27,143.27,144.75,141.69,141.92,91692187,0
2021-09-28,142.54,144.45,142.03,142.84,66572843,0
2021-09-29,143.66,144.378,141.28,141.32,76345831,0
2021-09-30,141.83,142.92,139.1101,142.66,81585491,0
2021-10-03,141.71,142.21,138.27,139.19,86291346,0
2021-10-04,139.49,142.24,139.36,141.1,68998178,0
2021-10-05,139.58,142.15,138.37,141.99,73830085,0
2021-10-06,143,144.215,142.72,143.28,54652459,0
2021-10-07,144.04,144.1781,142.56,143.01,48459122,0
2021-10-10,142.3,144.81,141.81,142.8,55706039,0
2021-10-11,143.23,143.25,141.0401,141.46,57465598,0
2021-10-12,141.2,141.4,139.2,140.96,66616125,0
2021-10-13,142.09,143.88,141.51,143.7554,55481541,0
2021-10-14,143.72,144.895,143.51,144.83,58199725,0
2021-10-17,143.445,146.84,143.16,146.54,68766235,0
2021-10-18,146.99,149.17,146.55,148.78,67213915,0
2021-10-19,148.72,149.7539,148.12,149.35,52558910,0
2021-10-20,148.76,149.64,147.87,149.46,54957790,0
2021-10-21,149.64,150.18,148.64,148.69,52043512,0
2021-10-24,148.67,149.37,147.6211,148.65,41787033,0
2021-10-25,149.32,150.84,149.0101,149.26,51449318,0
2021-10-26,149.38,149.73,148.49,148.85,43201783,0
2021-10-27,149.86,153.165,149.72,152.4766,77772052,0
2021-10-28,147.19,149.94,146.4128,149.8,104258290,0
2021-10-31,148.985,149.7,147.8,148.99,57758481,0
2021-11-01,148.67,151.57,148.65,150,61741508,0
2021-11-02,150.37,151.97,149.82,151.49,44064848,0
2021-11-03,151.62,152.43,150.64,150.96,49782226,0
2021-11-04,151.81,152.2,150.06,151.24,54619968,0
2021-11-07,151.4,151.57,150.16,150.45,45449352,0
2021-11-08,150.19,151.428,150.0601,150.83,44463692,0
2021-11-09,150.08,150.13,147.85,147.92,55574807,0
2021-11-10,148.95,149.43,147.681,147.88,36032544,0
2021-11-11,148.43,150.4,147.48,149.99,54570111,0
2021-11-14,150.33,151.88,149.43,150,45407186,0
2021-11-15,149.93,151.488,149.34,151,47259035,0
2021-11-16,150.99,155,150.99,153.65,79658263,0
2021-11-17,153.65,158.67,153.05,157.89,111869313,0
2021-11-18,157.64,161.02,156.5328,160.56,104177063,0
2021-11-21,161.68,165.7,161,161.08,104752212,0
2021-11-22,161.12,161.8,159.0601,161.42,85191018,0
2021-11-23,160.75,162.14,159.64,161.94,61311962,0
2021-11-25,159.565,160.45,156.36,156.88,63333097,0
2021-11-28,159.37,161.19,158.7901,160.23,76825307,0
2021-11-29,159.99,165.52,159.92,165.43,136677723,0
2021-11-30,167.46,170.3,164.53,164.67,134430930,0
2021-12-01,158.74,164.2,157.8,163.79,119777441,0
2021-12-02,164.01,164.96,159.72,161.85,101386407,0
2021-12-05,164.32,167.8799,164.28,165.29,88599811,0
2021-12-06,169.06,171.58,168.34,171.21,101198677,0
2021-12-07,172.08,175.96,170.7,175.01,104352762,0
2021-12-08,174.9,176.75,173.92,174.62,95456082,0
2021-12-09,175.25,176.99,174.69,176.26,39093411,0
