Date,Open,High,Low,Close,Volume,OpenInterest
2021-07-21,14.7,14.62,13.77,14.23,733287,0
2021-07-22,14.23,14.36,13.34,13.47,929404,0
2021-07-25,14.54,15.04,13.92,14.29,1944557,0
2021-07-26,14,14.035,12.9,13.431,1459353,0
2021-07-27,13.61,14.25,13.41,14.03,921295,0
2021-07-28,14.04,14.1768,13.65,13.7,681896,0
2021-07-29,13.36,13.875,13.26,13.46,613116,0
2021-08-01,13.6,14.15,13.36,13.56,713145,0
2021-08-02,13.836,13.836,12.88,13.21,1165774,0
2021-08-03,13.08,13.6774,13,13.16,928202,0
2021-08-04,13.01,13.65,12.58,13.26,1382123,0
2021-08-05,13.3,13.94,12.95,13.66,1138668,0
2021-08-08,14.33,15.7096,14.06,15.38,2813442,0
2021-08-09,15.58,15.93,14.64,15.2361,1654656,0
2021-08-10,15.38,15.46,14.51,14.87,1097309,0
2021-08-11,14.75,14.77,14.04,14.54,948547,0
2021-08-12,14.7,14.97,13.77,13.89,1230472,0
2021-08-15,13.94,13.98,13.34,13.74,1126070,0
2021-08-16,10.96,11.9695,10.4,11.62,7884556,0
2021-08-17,11.34,12.32,11.17,11.912,2138060,0
2021-08-18,11.51,12.11,10.58,10.71,3203024,0
2021-08-19,11.02,11.14,10.63,10.78,2423767,0
2021-08-22,11.08,12.92,10.89,12.6118,4489971,0
2021-08-23,12.63,13.7,12.43,13.481,2369842,0
2021-08-24,13.4,13.72,13.01,13.2,1047538,0
2021-08-25,13.2,13.45,12.92,13.07,777541,0
2021-08-26,13.11,14.3,12.95,14.06,1172501,0
2021-08-29,14.02,14.229,13.38,13.65,1089926,0
2021-08-30,13.62,13.98,13.33,13.8,792985,0
2021-08-31,13.841,14.165,13.58,13.74,1315827,0
2021-09-01,14.11,14.8327,14.01,14.4,1540281,0
2021-09-02,14.4,14.6327,14.04,14.26,720647,0
2021-09-06,14.3876,14.7999,13.71,13.79,1175492,0
2021-09-07,13.65,13.73,12.66,12.8,1145817,0
2021-09-08,13.0051,13.69,12.81,13.51,838956,0
2021-09-09,13.44,13.49,12.77,12.85,733333,0
2021-09-12,12.85,13.205,12.38,12.89,931906,0
2021-09-13,12.99,13.2,12.27,12.34,665941,0
2021-09-14,12.5,12.91,12.35,12.72,655228,0
2021-09-15,12.64,12.8,12.39,12.63,528365,0
2021-09-16,12.61,13.06,12.4,12.87,680868,0
2021-09-19,12,12.29,11.29,11.62,1573952,0
2021-09-20,11.8,11.875,11.2301,11.239,1072083,0
2021-09-21,11.39,12.03,11.3,11.75,1225171,0
2021-09-22,11.98,12.04,11.5999,11.85,817936,0
2021-09-23,11.25,11.88,11.1,11.4,882899,0
2021-09-26,11.45,12.1658,11.341,11.63,922299,0
2021-09-27,11.52,11.63,10.9,10.915,1091375,0
2021-09-28,11.43,12.73,11.3,11.61,4070344,0
2021-09-29,11.9,11.9498,11.16,11.58,1943265,0
2021-09-30,12.01,12.7,11.9101,12.515,2083060,0
2021-10-03,12.4,12.6599,11.9,12.23,1215396,0
2021-10-04,12.42,13.57,12.31,13.4,1930917,0
2021-10-05,13.654,14.14,13.12,13.44,1689584,0
2021-10-06,13.45,14.1,12.39,13.81,2167979,0
2021-10-07,13.925,14.5599,13.71,14.31,1543408,0
2021-10-10,14.41,15.32,14.4,14.525,2220289,0
2021-10-11,14.7411,14.97,14.3,14.3,1157080,0
2021-10-12,14.26,15.19,13.66,15.17,1924682,0
2021-10-13,15.45,15.55,14.92,15.19,1090520,0
2021-10-14,15.65,16.65,15.49,15.785,2535305,0
2021-10-17,15.8,16.61,15.6,16.26,1911615,0
2021-10-18,16.6,17.03,15.9,16.7,1780299,0
2021-10-19,17,18.63,16.74,17.66,3281952,0
2021-10-20,17.68,17.95,17.07,17.62,1901145,0
2021-10-21,17.55,17.5548,16.33,16.44,1945316,0
2021-10-24,16.75,18.65,16.78,18.44,2174746,0
2021-10-25,18.55,18.76,17.7201,18.19,1934994,0
2021-10-26,17.66,18.432,17.42,17.43,1414144,0
2021-10-27,17.91,19.71,17.91,19.71,2245525,0
2021-10-28,19.46,20.75,19.2,20.265,2326263,0
2021-10-31,20.31,22.17,20.31,21.65,2197721,0
2021-11-01,22.24,22.6406,21.3314,22.1084,1989220,0
2021-11-02,21.985,22.09,20.71,21.83,1415239,0
2021-11-03,21.53,23.6,21.53,21.94,2039609,0
2021-11-04,22.45,22.78,20.42,20.49,1576131,0
2021-11-07,21.82,23.09,21.67,22.25,2537499,0
2021-11-08,22.8015,22.9499,20.75,21.305,1747018,0
2021-11-09,21.5,21.8,19.88,20.31,1653482,0
2021-11-10,20.4599,21.98,20.3301,21.46,1079787,0
2021-11-11,21.4,21.69,20.69,21.43,1131363,0
2021-11-14,21.84,22.6,20.5,20.6773,2478731,0
2021-11-15,19.88,20,18.32,18.4,2311162,0
2021-11-16,18.67,18.8028,18.01,18.395,1213326,0
2021-11-17,18.13,18.18,16.545,17.15,2080144,0
2021-11-18,17.26,18.66,17.25,18.025,1537892,0
2021-11-21,18,18.16,16.96,17.57,1283182,0
2021-11-22,17.39,18.45,17.2,17.84,1173869,0
2021-11-23,17.445,18.09,16.76,18.06,1158088,0
2021-11-25,16.8,17.599,16.4,17.24,1038098,0
2021-11-28,17.92,17.97,17,17.77,1016169,0
2021-11-29,17.66,18.43,16.89,17.8,1212053,0
2021-11-30,18.23,18.48,16.21,16.32,1563398,0
2021-12-01,16.14,17.09,15.26,16.02,1783577,0
2021-12-02,16.09,16.15,13.31,13.6582,2882244,0
2021-12-05,12.8,14.44,12.33,14,2013476,0
2021-12-06,14.78,15.6053,14.78,15.12,1245176,0
2021-12-07,15.09,15.3,14.4969,14.71,1107446,0
2021-12-08,14.52,14.55,13.345,13.43,1515117,0
2021-12-09,13.78,14.1399,12.9,13.0686,528318,0
