Date,Open,High,Low,Close,Volume,OpenInterest
2021-07-21,361.75,363.96,361.75,363.94,27937961,0
2021-07-22,365.31,368.485,363.9157,368.07,28722237,0
2021-07-25,367.49,368.89,366.601,368.47,25290598,0
2021-07-26,368.19,368.22,360.16,364.44,53754641,0
2021-07-27,365.6,367.45,363.24,365.84,38442770,0
2021-07-28,365.25,367.6794,365.25,366.5,20620668,0
2021-07-29,362.45,365.17,362.41,364.52,31311587,0
2021-08-01,366.28,366.88,363.87,364.52,24729226,0
2021-08-02,365.29,366.93,362,366.77,33439408,0
2021-08-03,366.76,368.32,365.63,367.34,27414778,0
2021-08-04,368.14,369.91,367.45,369.78,19312675,0
2021-08-05,368.35,369.37,366.905,368.06,29063191,0
2021-08-08,368.52,369.27,367.39,368.7,21446066,0
2021-08-09,369.26,369.56,365.62,366.85,32409565,0
2021-08-10,368.14,368.65,364.84,366.23,28647403,0
2021-08-11,365.68,367.9,364.295,367.59,23566034,0
2021-08-12,367.88,369.16,367.38,368.82,17361100,0
2021-08-15,367.67,369.02,363.7,368.97,33063369,0
2021-08-16,366.15,367.15,363.23,365.71,41792226,0
2021-08-17,365.18,366.62,361.865,362.2,33486908,0
2021-08-18,360.22,365.68,359.96,363.97,43707421,0
2021-08-19,365.05,368.14,364.74,367.75,35791235,0
2021-08-22,368.8,373.935,368.78,373.2,29187702,0
2021-08-23,373.83,374.99,373.36,374.39,19571271,0
2021-08-24,374.63,375.39,373.855,374.57,18232712,0
2021-08-25,373.92,374.62,371.97,372.4,27370249,0
2021-08-26,373.07,376.56,372.57,376.08,24572719,0
2021-08-29,376.84,380.76,376.83,380.32,25366938,0
2021-08-30,380.51,380.579,378.36,379.89,26969165,0
2021-08-31,381.05,382.71,380.37,380.59,25472478,0
2021-09-01,381.97,382.31,379.15,380.42,23497766,0
2021-09-02,379.22,381.98,379.2,381.59,21194594,0
2021-09-06,381.65,382.778,380.4882,382.11,21728488,0
2021-09-07,381.93,381.93,378.5503,380.83,30418427,0
2021-09-08,381.01,382.15,379.22,379.42,27459982,0
2021-09-09,381.23,381.97,376.245,376.5,37288749,0
2021-09-12,378.99,379.43,374.22,376.36,45890350,0
2021-09-13,377.84,378.61,374.28,375.18,38873176,0
2021-09-14,375.73,378.41,373.37,378.01,31050781,0
2021-09-15,376.71,378.9,374.695,378.34,32691551,0
2021-09-16,377.82,377.87,372.76,373.82,52313395,0
2021-09-19,367.49,369.25,360.93,365.82,67517859,0
2021-09-20,367.58,368.81,364.99,366.09,38501039,0
2021-09-21,367.09,371.07,365.9584,369.55,44140590,0
2021-09-22,370.76,374.04,370.099,372.91,39459122,0
2021-09-23,370.65,373.76,370.27,373.33,30671009,0
2021-09-26,370.2,371.2516,367.73,370.39,38162379,0
2021-09-27,365.67,370.302,359.35,359.85,90070657,0
2021-09-28,361.18,363.37,358.635,359.36,53671853,0
2021-09-29,361.02,362.68,357.1,357.73,56492511,0
2021-09-30,358.6,361.25,354.38,360.1,50606474,0
2021-10-03,358.52,358.86,350.32,352.7,71136235,0
2021-10-04,353.71,359.69,353.48,357.38,43632992,0
2021-10-05,354.07,359.95,353.15,359.68,51746178,0
2021-10-06,362.8,365.69,362.25,362.94,35484956,0
2021-10-07,364.1,364.3166,360.61,361.1,35191315,0
2021-10-10,359.58,363.2,358.3,358.39,31733439,0
2021-10-11,359.88,360.33,356.48,357.15,38756337,0
2021-10-12,359.49,360.69,357.43,360,36323036,0
2021-10-13,363.69,366.85,363.01,366.6,40243149,0
2021-10-14,367.88,369.06,366.82,368.99,34692516,0
2021-10-17,367.6,372.87,366.99,372.65,28085085,0
2021-10-18,373.74,375.52,372.6974,375.44,25228935,0
2021-10-19,375.94,376.565,373.46,374.98,27504995,0
2021-10-20,374.14,377.47,373.85,377.27,20890389,0
2021-10-21,375.98,376.97,372.385,374.03,32854830,0
2021-10-24,375.57,378.87,373.56,377.92,27198872,0
2021-10-25,380.22,382.71,377.905,378.88,41795078,0
2021-10-26,379.58,383.15,379.31,379.95,38541477,0
2021-10-27,381.95,384.48,381.155,384.2,31146606,0
2021-10-28,381.06,386.28,380.7,386.08,31758575,0
2021-10-31,386.56,387.56,384.42,387.43,26942766,0
2021-11-01,386.8,389.54,386.75,389.12,22377397,0
2021-11-02,389.53,393.61,388.48,393.235,31575664,0
2021-11-03,394.46,399.2,393.92,398.24,37357484,0
2021-11-04,400.04,400.99,397.16,398.57,37799298,0
2021-11-07,398.57,399.62,397.4,398.06,26737662,0
2021-11-08,399.16,399.57,393.92,395.28,48114670,0
2021-11-09,392.47,395.36,387.53,389.49,49753283,0
2021-11-10,392.57,392.75,390.24,390.62,28990905,0
2021-11-11,391.77,395.25,390.13,394.72,30500126,0
2021-11-14,395.91,396.24,392.095,394.63,30051286,0
2021-11-15,393.87,397.93,393.66,397.5,24351631,0
2021-11-16,397.75,399.7196,396.64,397.66,25670512,0
2021-11-17,399.72,402.27,397.45,401.75,40427984,0
2021-11-18,403.43,405.3,402.58,403.97,39064627,0
2021-11-21,405.57,408.71,399.19,399.34,57432911,0
2021-11-22,398.11,400.23,392.92,397.48,65476821,0
2021-11-23,394.91,399.05,392.54,398.89,42595659,0
2021-11-25,396.11,397.54,389.77,390.99,45638841,0
2021-11-28,395.86,400.73,395.14,399.62,44972649,0
2021-11-29,398.78,401.19,391.75,393.63,75919223,0
2021-11-30,398.29,400.48,386.64,387.04,71448918,0
2021-12-01,385.8,391.74,384.34,389.92,77990322,0
2021-12-02,391.29,392.34,378.9,383.21,97899094,0
2021-12-05,383.63,387.6,379.3,386.31,62920437,0
2021-12-06,392.98,398.46,392.98,397.95,51092063,0
2021-12-07,398.17,399.82,396.22,399.62,36084028,0
2021-12-08,398.35,400.2,393.5299,393.74,46211653,0
2021-12-09,396.59,398.06,393.36,394.56,24319923,0
