Date,Open,High,Low,Close,Volume,OpenInterest
2021-12-01,16.33,16.4,16.33,16.4,200,0
2021-12-01,16.25,16.25,16.25,16.25,268,0
2021-12-01,16.26,16.26,16.26,16.26,300,0
2021-12-01,16.37,16.41,16.37,16.41,201,0
2021-12-01,16.38,16.38,16.38,16.38,150,0
2021-12-01,16.47,16.51,16.47,16.51,500,0
2021-12-01,16.55,16.55,16.55,16.55,100,0
2021-12-01,16.495,16.495,16.495,16.495,100,0
2021-12-01,16.415,16.415,16.415,16.415,396,0
2021-12-01,16.53,16.53,16.5,16.5,300,0
2021-12-01,16.45,16.45,16.44,16.44,773,0
2021-12-01,16.44,16.44,16.44,16.44,815,0
2021-12-01,16.43,16.46,16.43,16.46,984,0
2021-12-01,16.44,16.5,16.44,16.45,1200,0
2021-12-01,16.44,16.44,16.425,16.43,505,0
2021-12-01,16.45,16.46,16.45,16.46,609,0
2021-12-01,16.57,16.57,16.53,16.53,824,0
2021-12-01,16.485,16.485,16.485,16.485,100,0
2021-12-01,16.49,16.49,16.49,16.49,119,0
2021-12-01,16.52,16.54,16.515,16.54,500,0
2021-12-01,16.5,16.5,16.45,16.45,710,0
2021-12-01,16.41,16.415,16.32,16.32,500,0
2021-12-01,16.37,16.37,16.37,16.37,100,0
2021-12-01,16.37,16.37,16.37,16.37,106,0
2021-12-01,16.38,16.38,16.38,16.38,222,0
2021-12-02,16.04,16.19,16.04,16.19,560,0
2021-12-02,16.4,16.4,16.4,16.4,197,0
2021-12-02,16.69,16.7,16.55,16.55,600,0
2021-12-02,16.54,16.58,16.54,16.58,300,0
2021-12-02,16.87,16.87,16.87,16.87,100,0
2021-12-02,16.94,16.94,16.94,16.94,100,0
2021-12-02,16.71,16.71,16.61,16.61,408,0
2021-12-02,16.52,16.52,16.52,16.52,115,0
2021-12-02,16.54,16.54,16.54,16.54,100,0
2021-12-02,16.635,16.635,16.635,16.635,100,0
2021-12-02,16.53,16.53,16.53,16.53,200,0
2021-12-02,16.4,16.4,16.4,16.4,100,0
2021-12-02,16.54,16.54,16.53,16.53,200,0
2021-12-02,16.69,16.69,16.69,16.69,150,0
2021-12-02,16.3,16.3,16.3,16.3,100,0
2021-12-02,16.17,16.17,16.17,16.17,113,0
2021-12-02,15.97,15.98,15.91,15.91,1512,0
2021-12-02,15.94,15.94,15.94,15.94,100,0
2021-12-02,15.76,15.76,15.74,15.74,200,0
2021-12-02,15.71,15.71,15.57,15.57,676,0
2021-12-02,15.63,15.69,15.49,15.49,1000,0
2021-12-02,15.55,15.55,15.55,15.55,100,0
2021-12-02,15.82,15.82,15.82,15.82,179,0
2021-12-02,15.74,15.74,15.69,15.69,400,0
2021-12-02,15.79,15.79,15.79,15.79,300,0
2021-12-02,15.54,15.54,15.52,15.52,200,0
2021-12-02,15.56,15.56,15.56,15.56,300,0
2021-12-02,15.44,15.45,15.44,15.45,200,0
2021-12-02,15.5,15.5,15.5,15.5,141,0
2021-12-02,15.28,15.32,15.26,15.29,721,0
2021-12-02,15.36,15.36,15.36,15.36,100,0
2021-12-02,15.34,15.34,15.34,15.34,100,0
2021-12-02,15.6,15.6,15.6,15.6,100,0
2021-12-02,15.69,15.69,15.69,15.69,198,0
2021-12-02,15.74,15.74,15.74,15.74,150,0
2021-12-02,15.76,15.76,15.76,15.76,100,0
2021-12-02,15.7,15.7,15.69,15.69,200,0
2021-12-02,15.62,15.62,15.61,15.61,300,0
2021-12-02,15.65,15.66,15.625,15.625,400,0
2021-12-02,15.75,15.75,15.75,15.75,200,0
2021-12-02,15.72,15.73,15.72,15.73,300,0
2021-12-02,15.74,15.74,15.74,15.74,100,0
2021-12-02,15.83,15.84,15.83,15.84,300,0
2021-12-02,15.81,15.81,15.81,15.81,100,0
2021-12-02,15.7,15.7,15.7,15.7,187,0
2021-12-02,15.615,15.615,15.615,15.615,100,0
2021-12-02,15.55,15.565,15.55,15.565,325,0
2021-12-02,15.7,15.7,15.7,15.7,184,0
2021-12-02,15.61,15.7,15.61,15.7,200,0
2021-12-02,15.75,15.75,15.75,15.75,500,0
2021-12-02,15.58,15.58,15.58,15.58,336,0
2021-12-02,15.67,15.67,15.67,15.67,299,0
2021-12-02,15.685,15.685,15.685,15.685,100,0
2021-12-02,15.86,15.86,15.86,15.86,100,0
2021-12-02,15.82,15.82,15.82,15.82,100,0
2021-12-02,15.86,15.86,15.86,15.86,100,0
2021-12-02,15.855,15.855,15.84,15.84,200,0
2021-12-02,15.95,15.95,15.95,15.95,100,0
2021-12-02,15.925,15.925,15.925,15.925,100,0
2021-12-02,15.89,15.89,15.89,15.89,100,0
2021-12-02,15.89,15.89,15.89,15.89,117,0
2021-12-02,15.93,15.93,15.93,15.93,100,0
2021-12-02,15.93,15.93,15.93,15.93,100,0
2021-12-02,15.84,15.84,15.82,15.82,300,0
2021-12-02,15.7,15.71,15.7,15.71,200,0
2021-12-02,15.73,15.73,15.72,15.72,300,0
2021-12-02,15.65,15.68,15.65,15.68,300,0
2021-12-02,15.64,15.64,15.64,15.64,200,0
2021-12-02,15.6,15.6,15.6,15.6,100,0
2021-12-02,15.61,15.61,15.61,15.61,100,0
2021-12-02,15.55,15.55,15.55,15.55,100,0
2021-12-02,15.46,15.46,15.46,15.46,303,0
2021-12-02,15.49,15.49,15.49,15.49,100,0
2021-12-02,15.36,15.36,15.36,15.36,249,0
2021-12-02,15.46,15.46,15.46,15.46,100,0
2021-12-02,15.53,15.53,15.53,15.53,300,0
2021-12-02,15.45,15.45,15.45,15.45,100,0
2021-12-02,15.4,15.4,15.39,15.39,544,0
2021-12-02,15.48,15.48,15.48,15.48,100,0
2021-12-02,15.58,15.58,15.58,15.58,100,0
2021-12-02,15.74,15.74,15.74,15.74,253,0
2021-12-02,15.72,15.72,15.72,15.72,300,0
2021-12-02,15.78,15.785,15.78,15.785,343,0
2021-12-02,15.76,15.76,15.76,15.76,123,0
2021-12-02,15.7,15.7,15.7,15.7,100,0
2021-12-02,15.63,15.63,15.63,15.63,200,0
2021-12-02,15.69,15.69,15.69,15.69,300,0
2021-12-02,15.78,15.78,15.78,15.78,200,0
2021-12-02,15.8,15.8,15.8,15.8,100,0
2021-12-02,15.885,15.905,15.885,15.905,300,0
2021-12-02,15.93,15.93,15.93,15.93,100,0
2021-12-02,15.925,15.925,15.925,15.925,200,0
2021-12-02,15.95,15.95,15.95,15.95,100,0
2021-12-02,15.935,15.935,15.935,15.935,173,0
2021-12-02,15.82,15.82,15.82,15.82,100,0
2021-12-02,15.83,15.83,15.83,15.83,200,0
2021-12-02,15.84,15.84,15.84,15.84,100,0
2021-12-02,15.9,15.91,15.9,15.91,404,0
2021-12-02,15.9,15.9,15.9,15.9,200,0
2021-12-02,15.81,15.81,15.8,15.8,400,0
2021-12-02,15.785,15.785,15.785,15.785,128,0
2021-12-02,15.86,15.91,15.86,15.91,643,0
2021-12-02,15.84,15.865,15.84,15.865,500,0
2021-12-02,15.95,15.95,15.95,15.95,100,0
2021-12-02,15.935,15.935,15.935,15.935,100,0
2021-12-02,15.92,15.92,15.92,15.92,200,0
2021-12-02,16.005,16.005,16.005,16.005,100,0
2021-12-02,15.93,15.93,15.93,15.93,100,0
2021-12-02,15.98,15.98,15.98,15.98,100,0
2021-12-02,15.98,15.98,15.98,15.98,103,0
2021-12-02,16.01,16.01,16.01,16.01,300,0
2021-12-02,16.14,16.14,16.14,16.14,103,0
2021-12-02,16.115,16.115,16.115,16.115,107,0
2021-12-02,16.11,16.11,16.11,16.11,150,0
2021-12-02,16.135,16.135,16.13,16.13,200,0
2021-12-02,16.12,16.12,16.11,16.11,450,0
2021-12-02,16.085,16.085,16.085,16.085,300,0
2021-12-02,16.08,16.08,16.08,16.08,332,0
2021-12-02,16.08,16.08,16.06,16.08,326,0
2021-12-02,16.09,16.09,16.09,16.09,269,0
2021-12-02,16.07,16.07,16.07,16.07,122,0
2021-12-02,16.065,16.065,16.045,16.045,200,0
2021-12-02,16.02,16.025,16.02,16.02,771,0
2021-12-02,16.01,16.01,16.01,16.01,250,0
2021-12-02,16.03,16.07,16.03,16.07,501,0
2021-12-02,16.03,16.03,16.02,16.02,775,0
2021-12-02,16.02,16.03,16,16,1114,0
2021-12-03,16.12,16.12,16.12,16.12,136,0
2021-12-03,15.78,15.78,15.78,15.78,300,0
2021-12-03,15.14,15.21,15.14,15.205,511,0
2021-12-03,15.36,15.36,15.36,15.36,191,0
2021-12-03,15.2,15.2,15.2,15.2,100,0
2021-12-03,15.13,15.13,15.13,15.13,100,0
2021-12-03,15.04,15.09,14.87,14.87,695,0
2021-12-03,14.91,14.91,14.78,14.78,800,0
2021-12-03,14.65,14.66,14.5,14.5,1861,0
2021-12-03,14.735,14.735,14.735,14.735,102,0
2021-12-03,14.795,14.795,14.795,14.795,186,0
2021-12-03,14.78,14.78,14.78,14.78,100,0
2021-12-03,14.78,14.78,14.735,14.735,212,0
2021-12-03,14.685,14.685,14.67,14.67,200,0
2021-12-03,14.69,14.7,14.69,14.7,200,0
2021-12-03,14.7,14.72,14.69,14.72,500,0
2021-12-03,14.71,14.71,14.66,14.66,300,0
2021-12-03,14.73,14.735,14.71,14.73,1000,0
2021-12-03,14.705,14.705,14.64,14.64,200,0
2021-12-03,14.76,14.76,14.76,14.76,100,0
2021-12-03,14.98,14.98,14.98,14.98,100,0
2021-12-03,14.89,14.89,14.89,14.89,331,0
2021-12-03,14.82,14.82,14.82,14.82,100,0
2021-12-03,14.83,14.83,14.83,14.83,214,0
2021-12-03,14.84,14.84,14.84,14.84,126,0
2021-12-03,14.69,14.69,14.69,14.69,101,0
2021-12-03,14.68,14.68,14.67,14.67,400,0
2021-12-03,14.66,14.66,14.66,14.66,176,0
2021-12-03,14.47,14.47,14.47,14.47,104,0
2021-12-03,14.43,14.43,14.42,14.42,200,0
2021-12-03,14.4,14.42,14.4,14.42,400,0
2021-12-03,14.54,14.54,14.54,14.54,100,0
2021-12-03,14.57,14.57,14.57,14.57,100,0
2021-12-03,14.59,14.59,14.59,14.59,100,0
2021-12-03,14.61,14.62,14.61,14.62,572,0
2021-12-03,14.51,14.51,14.51,14.51,100,0
2021-12-03,14.49,14.49,14.49,14.49,150,0
2021-12-03,14.37,14.37,14.37,14.37,101,0
2021-12-03,14.2,14.2,14.2,14.2,300,0
2021-12-03,14.27,14.27,14.27,14.27,200,0
2021-12-03,14.27,14.27,14.24,14.24,400,0
2021-12-03,14.25,14.29,14.24,14.29,543,0
2021-12-03,14.35,14.35,14.35,14.35,200,0
2021-12-03,14.47,14.47,14.47,14.47,200,0
2021-12-03,14.39,14.39,14.39,14.39,281,0
2021-12-03,14.46,14.46,14.46,14.46,100,0
2021-12-03,14.44,14.44,14.44,14.44,100,0
2021-12-03,14.21,14.23,14.21,14.22,400,0
2021-12-03,14.26,14.26,14.26,14.26,100,0
